No,Nama User,Nama Produk,Varian Produk,Link Produk,Rating,Tanggal,Ulasan
1,Budi,"ORICO M.2 NVMe & M.2 NGFF/M.2 SATA SSD Enclosure with Silicone Protective Case USB-C up to 5/6/10 Gbps, 2-in-1 Cable Portable Hanging Rope - AXM2 series",Varian: AXM2-G2-V1,https://www.tokopedia.com/orico/orico-m-2-nvme-m-2-ngff-m-2-sata-ssd-enclosure-with-silicone-protective-case-usb-c-up-to-5-6-10-gbps-2-in-1-cable-portable-hanging-rope-axm2-series,5,2025-04-24,Barang sudah diterima kondisi bagus
2,fauzan,Null,Null,https://www.tokopedia.com/orico/orico-4-port-usb-3-0-hub-twu3-4a,5,2025-04-24,"barang bagus. berfungsi sesuai,  bahan plastik bagus kokoh. ukuran pas sesuai perkiraan. bentuknya bisa pasang flasdisk yg ukurannya besar"
3,h***n,"ORICO SATA 2.5"" SSD 128GB/256GB/512GB/1TB/2TB/4TB - Y20 Series",Varian: 256GB,https://www.tokopedia.com/orico/orico-sata-2-5-ssd-128gb-256gb-512gb-1tb-2tb-4tb-y20-series,5,2025-04-24,pembelian yang ke dua
4,BagoesPoetra,Null,Null,https://www.tokopedia.com/orico/orico-4-port-usb-3-0-hub-twu3-4a,5,2025-04-24,belum ada ulasan
5,BagoesPoetra,ORICO HDD SSD Enclosure 2.5 Inch USB 3.0 - 2020U3,Varian: 2020U3-V1,https://www.tokopedia.com/orico/orico-hdd-ssd-enclosure-2-5-inch-usb-3-0-2020u3,5,2025-04-24,belum ada ulasan
6,Anka,Null,Null,https://www.tokopedia.com/orico/orico-foldable-laptop-stand-233-210-87mm-ma13,5,2025-04-24,Kokoh banget dan multifungsi
7,M***M,ORICO Laptop Stand - PFB-A23,Varian: Hitam,https://www.tokopedia.com/orico/orico-laptop-stand-pfb-a23,5,2025-04-24,"kirain bahan besi, menurut ku ini over price, dan gak bisa dikunci tingkatannya"
8,gandi,ORICO Laptop Stand - PFB-A23,Varian: Hitam,https://www.tokopedia.com/orico/orico-laptop-stand-pfb-a23,3,2025-04-24,"Stand laptop ini sangat ergonomis, bisa dilipat dan memakan sedikit tempat. Lumayan kuat, dapat menahan laptop saya yang bobotnya 2,3 kg. Namun, awalnya saya pikir ukuran..."
9,R***a,Null,Null,https://www.tokopedia.com/orico/orico-hdmi-bi-directional-splitter-or-switcher-4k-60hz-hs2-a1-bk-ep,1,2025-04-24,belum ada ulasan
10,H***I,ORICO USB 3.0 to Ethernet LAN Adapter 1000 Mbps - UTK-U3,Varian: Hitam,https://www.tokopedia.com/orico/orico-usb-3-0-to-ethernet-lan-adapter-1000-mbps-utk-u3,5,2025-04-24,berfungsi dengan baik
11,Widhi,"ORICO SATA 2.5"" SSD 128GB/256GB/512GB/1TB/2TB/4TB - Y20 Series",Varian: 256GB,https://www.tokopedia.com/orico/orico-sata-2-5-ssd-128gb-256gb-512gb-1tb-2tb-4tb-y20-series,5,2025-04-20,Trims kasih
